#Q	phi	vacunados	std	opinion	std	smax	std
20	0.0	10.41	3.24066351231	1024.0	0.0	1024.0	0.0
20	0.0001	32.24	6.85291178989	1022.91	0.31921779399	1023.0	0.0
20	0.0002	50.71	8.20279830302	1023.76	0.531413210223	1024.0	0.0
20	0.0003	68.33	10.2479802888	1023.62	0.745385806143	1024.0	0.0
20	0.0004	86.6	12.33612581	1023.35	1.02347447452	1024.0	0.0
20	0.0005	100.83	14.4520275394	1023.36	0.854634424769	1024.0	0.0
20	0.0006	118.95	13.0616805963	1023.08	1.24643491607	1024.0	0.0
20	0.0007	134.06	16.6275794991	1022.79	1.40921964221	1024.0	0.0
20	0.0008	150.74	16.4891600756	1022.52	1.52630272227	1024.0	0.0
20	0.0009	162.62	13.8786022351	1021.92	1.85838639685	1024.0	0.0
20	0.001	176.74	14.6264281354	1020.86	1.97494303715	1023.0	0.0
20	0.0011	186.71	15.3024801911	1021.81	1.8904761305	1024.0	0.0
20	0.0012	203.26	17.6650049533	1020.79	3.12504399969	1024.0	0.0
20	0.0013	216.76	16.9523567683	1020.52	2.98489530805	1024.0	0.0
20	0.0014	228.79	16.5953577846	1019.74	3.26686393962	1024.0	0.0
20	0.0015	237.92	16.1205955225	1018.47	4.60750474769	1024.0	0.0
20	0.0016	250.85	15.7075618732	1016.2	8.0956778592	1024.0	0.0
20	0.0017	262.47	16.8496023692	1013.72	9.7550807275	1024.0	0.0
20	0.0018	273.75	16.853115439	1009.11	13.9727556337	1024.0	0.0
20	0.0019	281.86	17.4315920099	998.86	21.293670421	1024.0	0.0
20	0.002	291.72	16.3768617262	988.32	28.3177965244	1024.0	0.0
20	0.0021	296.14	15.5389961066	978.35	30.9083726521	1024.0	0.0
20	0.0022	308.26	19.0150571916	960.2	34.1596252907	1024.0	0.0
20	0.0023	316.21	21.1117479144	949.29	35.3935855771	1024.0	0.0
20	0.0024	331.05	19.7182022507	917.63	40.7322120686	1024.0	0.0
20	0.0025	336.17	19.4453362018	904.07	34.4665794648	1024.0	0.0
20	0.0026	345.3	19.9682247584	891.04	31.3757613453	1024.0	0.0
20	0.0027	352.47	18.77096428	876.22	31.1305573352	1024.0	0.0
20	0.0028	363.99	20.3487075757	859.51	30.9530273156	1024.0	0.0
20	0.0029	371.76	18.7152985549	849.88	25.7298581419	1024.0	0.0
20	0.003	378.45	18.9691196422	836.48	27.5127170596	1024.0	0.0
20	0.0031	384.37	20.1343760767	823.84	30.4649700476	1024.0	0.0
20	0.0032	388.34	20.6548880413	816.13	26.469852663	1024.0	0.0
20	0.0033	401.81	20.7642457123	802.95	30.7331661239	1024.0	0.0
20	0.0034	402.97	21.4487552086	799.16	27.474613737	1024.0	0.0
20	0.0035	413.3	20.1665564735	783.12	31.2401280407	1024.0	0.0
20	0.0036	416.97	17.8356132499	775.39	28.5225857874	1024.0	0.0
20	0.0037	419.84	19.9202008022	764.57	31.0271671282	1024.0	0.0
20	0.0038	432.15	20.3024013358	744.84	31.3763350314	1024.0	0.0
20	0.0039	436.63	20.0193181702	733.53	35.2421494804	1024.0	0.0
20	0.004	443.93	21.4998860462	721.68	36.0260683395	1024.0	0.0
20	0.0041	443.44	18.2407894566	719.83	36.0840837489	1024.0	0.0
20	0.0042	452.36	18.2485725469	697.1	36.6490109007	1024.0	0.0
20	0.0043	458.26	20.1889177521	690.58	36.3604675437	1024.0	0.0
20	0.0044	464.82	16.1934431175	673.06	39.1003375945	1024.0	0.0
20	0.0045	468.69	20.6522129565	658.84	39.1846194316	1024.0	0.0
20	0.0046	473.73	19.2732223564	652.03	37.9572008979	1024.0	0.0
20	0.0047	478.72	20.6039219568	639.96	44.30731768	1024.0	0.0
20	0.0048	485.58	21.4798417126	625.68	41.418324447	1024.0	0.0
20	0.0049	488.04	21.1815580163	612.32	41.7032085097	1024.0	0.0
120	0.0	197.1	7.77624588089	821.0	0.0	697.0	0.0
120	0.0001	186.7	6.10491605184	865.83	0.491019347888	866.0	0.0
120	0.0002	295.23	7.757390025	770.61	0.705620294493	770.0	0.0
120	0.0003	202.16	12.4013870192	908.8	3.58050275799	906.23	10.8081959642
120	0.0004	194.36	12.5239929735	934.94	2.47717581128	933.8	1.98997487421
120	0.0005	266.11	16.1504767731	904.82	3.61214617644	898.79	15.2330528785
120	0.0006	133.49	13.0134507338	1005.28	1.51710250148	1006.33	0.47021271782
120	0.0007	205.86	15.6716431812	967.37	1.85825186667	966.98	0.999799979996
120	0.0008	229.15	16.464127672	975.35	2.63960224276	973.93	2.18291090061
120	0.0009	273.25	15.6322583141	990.97	2.89293968136	989.9	0.994987437107
120	0.001	220.68	16.4322122674	995.41	1.97025379076	996.68	0.733212111193
120	0.0011	266.95	17.0548380233	1004.11	8.9284881139	1009.98	1.14873843846
120	0.0012	234.77	17.866647699	988.42	2.85369935347	992.0	0.0
120	0.0013	225.8	16.7122709408	1011.96	2.67177843393	1015.35	0.55452682532
120	0.0014	245.22	15.3711287809	1011.08	3.60466364589	1014.89	0.312889756943
120	0.0015	298.85	25.1858591277	1007.65	8.03165611814	1012.24	14.7757368683
120	0.0016	298.69	20.2759438745	994.47	22.8405144425	1016.71	1.48522725534
120	0.0017	345.47	18.1622988633	995.33	18.4114393788	1014.14	1.45615933194
120	0.0018	307.62	19.7553942001	998.98	17.3994137832	1017.0	0.0
120	0.0019	297.02	17.3666231605	998.26	17.1158523013	1019.0	0.0
120	0.002	384.81	20.3817050317	844.99	37.6102366384	1019.15	0.829156197589
120	0.0021	373.52	19.8693130229	861.78	34.2162476026	1020.0	0.0
120	0.0022	396.08	21.6728770587	862.17	43.1715311287	1019.27	4.11304023807
120	0.0023	350.56	16.132774095	912.01	39.1120173348	1022.0	0.0
120	0.0024	395.67	21.4350437368	798.1	27.1582400019	1022.0	0.0
120	0.0025	410.44	20.4808788874	757.3	36.1846652603	1020.0	0.0
120	0.0026	400.6	19.9469295883	846.27	40.1476910918	1021.35	0.804673846972
120	0.0027	478.36	21.8277438138	628.28	58.9408313481	1020.0	0.0
120	0.0028	437.56	18.9030791143	792.4	41.5810052789	1021.0	0.0
120	0.0029	433.59	21.1778634428	771.39	43.7028362924	1021.52	0.499599839872
120	0.003	383.22	19.0271280019	834.0	29.3918356011	1021.0	0.0
120	0.0031	450.79	20.4852605548	678.67	43.8905582102	1022.0	0.0
120	0.0032	532.87	20.0791707996	515.23	39.2616492267	1020.0	0.0
120	0.0033	485.78	22.8668231287	569.74	34.192578142	1021.0	0.0
120	0.0034	490.49	20.284227863	549.1	48.8592877558	1021.0	0.0
120	0.0035	461.41	19.8378905129	651.21	29.6894914069	1022.0	0.0
120	0.0036	415.68	21.5925357473	773.67	33.3457808426	1024.0	0.0
