#q	smax	std	adherents
10	24.06	2.16711790173	0.9552
15	22.06	3.93146283208	0.8672
20	19.9	4.53100430368	0.7848
25	15.06	5.65122995462	0.5952
30	11.86	6.03990066143	0.4616
35	10.22	5.00115986547	0.388
40	8.72	5.3067504181	0.3264
45	8.18	4.96262027562	0.3056
50	5.76	2.99038459065	0.2128
55	6.3	3.78021163429	0.244
60	5.14	2.65337520905	0.196
65	5.08	2.25246531605	0.1688
70	4.58	2.31594473164	0.18
75	4.34	2.32903413457	0.1624
80	3.78	1.90042100599	0.1512
85	4.54	2.68484636432	0.1664
90	4.06	2.07277591649	0.1664
95	3.28	1.44277510375	0.1264
