#Q	phi	vacunados	opinion
20	0.0	10.085	1024.0
20	0.005	494.57	600.959
20	0.01	652.493	166.912
20	0.015	735.027	84.982
20	0.02	785.313	61.662
20	0.025	820.224	50.921
20	0.03	845.942	44.801
20	0.035	864.177	40.657
20	0.04	879.807	37.314
20	0.045	892.752	35.676
20	0.05	903.194	33.847
20	0.055	910.843	32.661
20	0.06	919.671	31.128
20	0.065	925.669	30.778
20	0.07	931.043	29.935
20	0.075	936.642	28.748
20	0.08	940.39	28.231
20	0.085	944.868	27.808
20	0.09	948.164	27.052
20	0.095	951.458	26.459
100	0.0	200.24	801.1
100	0.005	522.229	508.799
100	0.01	676.798	138.814
100	0.015	759.733	75.282
100	0.02	802.742	54.653
100	0.025	845.544	43.361
100	0.03	863.885	39.82
100	0.035	879.295	37.25
100	0.04	898.556	32.668
100	0.045	906.07	31.485
100	0.05	918.154	30.102
100	0.055	928.975	28.128
100	0.06	929.345	28.463
100	0.065	938.543	27.313
100	0.07	944.268	26.157
100	0.075	946.839	25.907
100	0.08	952.361	25.096
100	0.085	956.108	24.625
100	0.09	960.429	23.607
100	0.095	962.046	23.419
20	0.001	176.28	1021.79
20	0.002	292.355	988.779
20	0.003	376.895	838.041
20	0.004	441.57	726.537
20	0.005	493.774	599.892
20	0.006	535.855	476.071
20	0.007	573.624	361.887
20	0.008	602.342	272.644
20	0.009	629.344	207.903
20	0.01	653.183	165.629
20	0.011	672.419	139.42
20	0.012	690.122	118.615
20	0.013	706.973	104.974
20	0.014	721.187	93.515
20	0.015	735.651	84.917
20	0.016	746.536	78.712
100	0.001	220.451	999.277
100	0.002	329.55	945.651
100	0.003	398.514	797.11
100	0.004	469.514	643.159
100	0.005	534.561	468.575
100	0.006	570.872	372.701
100	0.007	605.543	284.121
100	0.008	632.656	217.599
100	0.009	654.239	172.782
100	0.01	679.99	135.045
100	0.011	718.193	104.439
100	0.012	726.787	95.925
100	0.013	737.469	86.246
100	0.014	745.827	79.079
100	0.015	762.351	71.794
100	0.016	765.724	67.834
100	0.017	783.912	64.933
100	0.018	794.418	57.318
100	0.019	799.732	56.64
#Q	phi	vacunados	opinion
100	0.0	249.051	761.1
100	0.0001	187.416	865.982
100	0.0002	159.149	917.845
100	0.0003	166.078	929.225
100	0.0004	173.166	947.003
100	0.0005	196.816	934.722
100	0.0006	195.87	966.557
100	0.0007	204.218	969.747
100	0.0008	211.535	981.823
100	0.0009	215.02	995.045
100	0.001	241.628	992.248
100	0.0011	235.475	1003.814
100	0.0012	241.713	1000.534
100	0.0013	254.024	1004.49
100	0.0014	285.943	984.724
100	0.0015	278.212	998.845
100	0.0016	284.874	1001.455
100	0.0017	310.85	980.785
100	0.0018	323.947	940.699
100	0.0019	326.529	923.501
100	0.002	311.52	960.877
100	0.0021	335.948	936.131
100	0.0022	350.574	906.867
100	0.0023	376.99	838.998
100	0.0024	362.555	878.288
100	0.0025	370.281	855.128
100	0.0026	369.815	850.792
100	0.0027	405.307	771.983
100	0.0028	407.075	773.885
100	0.0029	404.418	777.682
100	0.003	417.573	764.153
100	0.0031	411.265	774.613
100	0.0032	451.369	670.9
100	0.0033	424.787	750.092
100	0.0034	436.806	717.671
100	0.0035	447.64	703.178
100	0.0036	439.824	714.384
100	0.0037	455.434	668.171
100	0.0038	470.764	640.589
100	0.0039	470.817	640.593
100	0.004	457.32	675.926
100	0.0041	488.704	588.991
100	0.0042	486.651	606.915
100	0.0043	492.921	582.882
100	0.0044	513.045	525.185
100	0.0045	512.743	530.975
100	0.0046	517.859	534.339
100	0.0047	514.792	525.325
100	0.0048	520.647	505.752
100	0.0049	517.005	516.086
